name,company,place,salary,education,experience,label,scale,href,key_word,salary_avg,experience_years,education_level,scale_value,cluster
量化开发工程师（Python）,某北京基金/证券/期货公司,北京,60-90k·14薪,硕士,经验不限,某北京基金/证券/期货公司 不需要融资,50-99人,https://www.liepin.com/a/70500343.shtml,Python,75.0,0.5,4,0,2
Python开发工程师,某大型制药公司,北京,20-25k,统招本科,3-5年,某大型制药公司 战略融资,500-999人,https://www.liepin.com/a/71206231.shtml,Python,22.5,4.0,3,3,1
Python数据开发工程师,某北京基金/证券/期货公司,北京,30-50k·16薪,学历不限,1-8年,某北京基金/证券/期货公司 不需要融资,1-49人,https://www.liepin.com/a/70775517.shtml,Python,40.0,4.5,0,0,0
Python后端开发工程师,,北京-海淀区,20-30k·15薪,统招本科,5-10年,某北京人工智能公司 A轮,1-49人,https://www.liepin.com/a/71415573.shtml,Python,25.0,7.5,3,0,3
【头部量化基金】测试开发工程师，（需精通 Python 开发）,某北京基金/证券/期货公司,北京,30-50k·16薪,统招本科,5年以上,某北京基金/证券/期货公司 融资未公开,100-499人,https://www.liepin.com/a/68863309.shtml,Python,40.0,5.0,3,2,1
Software Developer（Java或Python后端开发）北京-Amazon,某上海大型专业技术服务公司,北京,20-30k,本科,3-5年,某上海大型专业技术服务公司 融资未公开,10000人以上,https://www.liepin.com/a/68158953.shtml,Python,25.0,4.0,3,5,1
Python后端开发工程师,某知名互联网公司,北京-海淀区,30-60k·16薪,本科,3-5年,某知名互联网公司 天使轮,100-499人,https://www.liepin.com/a/71008761.shtml,Python,45.0,4.0,3,2,4
Python后端开发工程师,,北京,24-45k,学历不限,3-5年,某北京人工智能公司,100-499人,https://www.liepin.com/a/71013501.shtml,Python,34.5,4.0,0,2,0
Python开发工程师,瑞鑫天算,北京-海淀区,15-30k,统招本科,经验不限,瑞鑫天算,50-99人,https://www.liepin.com/job/1972002869.shtml,Python,22.5,0.5,3,0,4
物联网相关专业,,北京-丰台区,5-6k,大专,1年以下,,,https://www.liepin.com/job/1934629513.shtml,物联网,5.5,1.0,2,0,4
物联网渠道销售（物联网卡/通信设备）,,北京,10-15k,大专,1-3年,,,https://www.liepin.com/job/1932957519.shtml,物联网,12.5,2.0,2,0,4
物联网产品经理（B2B）,,北京,18-30k,本科,5-10年,,,https://www.liepin.com/job/1924463669.shtml,物联网,24.0,7.5,3,0,3
物联网渠道销售经理（物联网卡/通信模组）,,北京,15-20k,大专,5-10年,,,https://www.liepin.com/job/1924311591.shtml,物联网,17.5,7.5,2,0,3
物联网负责人,,北京-朝阳区,50-80k·14薪,统招本科,5-10年,,,https://www.liepin.com/job/1917100953.shtml,物联网,65.0,7.5,3,0,3
物联网产品经理,,北京,18-30k,本科,5-10年,,,https://www.liepin.com/job/1915771792.shtml,物联网,24.0,7.5,3,0,3
云产品总监（物联网）,,北京,30-40k,统招本科,10年以上,,,https://www.liepin.com/job/1915652512.shtml,物联网,35.0,10.0,3,0,3
物联网技术经理,,北京,20-30k,大专,5-10年,,,https://www.liepin.com/a/69667091.shtml,物联网,25.0,7.5,2,0,3
工业物联网产品总监（国有控股公司）,,北京-顺义区,30-50k,本科,经验不限,,,https://www.liepin.com/job/1978648211.shtml,物联网,40.0,0.5,3,0,2
物联网市场总监(TOB),,北京,25-40k,本科,10年以上,,,https://www.liepin.com/job/1970472177.shtml,物联网,32.5,10.0,3,0,3
农业物联网设备实施工程师,,北京-海淀区,8-15k,大专,经验不限,,,https://www.liepin.com/job/1968113231.shtml,物联网,11.5,0.5,2,0,4
物联网专家,,北京-海淀区,20-40k,本科,5-10年,,,https://www.liepin.com/job/1959352055.shtml,物联网,30.0,7.5,3,0,3
物联网产品经理,,北京-顺义区,20-40k·13薪,本科,经验不限,,,https://www.liepin.com/job/1950328507.shtml,物联网,30.0,0.5,3,0,2
物联网架构师,,北京-海淀区,30-50k,本科,10年以上,,,https://www.liepin.com/job/1949049095.shtml,物联网,40.0,10.0,3,0,3
